sub_ID,trial_number,physical_activation,trial_congruency,resp_correctness,reaction_times
sub-06,1,high_activation,congruent,correct,897
sub-06,2,high_activation,incongruent,correct,995
sub-06,3,high_activation,congruent,correct,1233
sub-06,4,high_activation,incongruent,correct,781
sub-06,5,high_activation,incongruent,correct,671
sub-06,6,high_activation,congruent,correct,597
sub-06,7,high_activation,incongruent,correct,617
sub-06,8,high_activation,congruent,correct,667
sub-06,9,high_activation,congruent,correct,601
sub-06,10,high_activation,congruent,correct,583
sub-06,11,high_activation,incongruent,correct,695
sub-06,12,high_activation,congruent,correct,681
sub-06,13,high_activation,congruent,correct,1256
sub-06,14,high_activation,congruent,correct,533
sub-06,15,high_activation,congruent,correct,489
sub-06,16,high_activation,incongruent,correct,599
sub-06,17,high_activation,congruent,correct,671
sub-06,18,high_activation,incongruent,correct,787
sub-06,19,high_activation,congruent,correct,833
sub-06,20,high_activation,congruent,correct,1061
sub-06,21,high_activation,incongruent,correct,821
sub-06,22,high_activation,congruent,correct,1177
sub-06,23,high_activation,congruent,correct,661
sub-06,24,high_activation,incongruent,correct,951
sub-06,25,high_activation,incongruent,correct,809
sub-06,26,high_activation,congruent,correct,1135
sub-06,27,high_activation,congruent,correct,1059
sub-06,28,high_activation,incongruent,correct,675
sub-06,29,high_activation,incongruent,correct,713
sub-06,30,high_activation,congruent,correct,851
sub-06,31,high_activation,incongruent,correct,609
sub-06,32,high_activation,congruent,correct,759
sub-06,33,high_activation,incongruent,correct,703
sub-06,34,high_activation,congruent,correct,673
sub-06,35,high_activation,incongruent,correct,715
sub-06,36,high_activation,incongruent,correct,933
sub-06,37,high_activation,incongruent,correct,895
sub-06,38,high_activation,incongruent,correct,1135
sub-06,39,high_activation,congruent,correct,1023
sub-06,40,high_activation,incongruent,correct,971
sub-06,41,high_activation,congruent,correct,1239
sub-06,42,high_activation,incongruent,correct,1869
sub-06,43,high_activation,congruent,correct,739
sub-06,44,high_activation,incongruent,correct,953
sub-06,45,high_activation,incongruent,correct,642
sub-06,46,high_activation,incongruent,correct,779
sub-06,47,high_activation,incongruent,correct,751
sub-06,48,high_activation,incongruent,correct,1117
sub-06,49,high_activation,congruent,correct,705
sub-06,50,high_activation,congruent,correct,739
sub-06,51,high_activation,congruent,correct,863
sub-06,52,high_activation,congruent,correct,889
sub-06,53,high_activation,congruent,correct,989
sub-06,54,high_activation,congruent,correct,937
sub-06,55,high_activation,congruent,correct,685
sub-06,56,high_activation,incongruent,correct,1025
sub-06,57,high_activation,congruent,correct,659
sub-06,58,high_activation,incongruent,correct,887
sub-06,59,high_activation,congruent,correct,621
sub-06,60,high_activation,incongruent,correct,713
sub-06,61,high_activation,incongruent,correct,763
sub-06,62,high_activation,incongruent,correct,769
sub-06,63,high_activation,incongruent,correct,681
sub-06,64,high_activation,congruent,correct,815
sub-06,65,high_activation,congruent,correct,695
sub-06,66,high_activation,congruent,correct,663
sub-06,67,high_activation,congruent,correct,677
sub-06,68,high_activation,incongruent,correct,831
sub-06,69,high_activation,incongruent,correct,857
sub-06,70,high_activation,congruent,correct,739
sub-06,71,high_activation,congruent,correct,667
sub-06,72,high_activation,incongruent,correct,807
sub-06,73,high_activation,congruent,correct,644
sub-06,74,high_activation,incongruent,correct,827
sub-06,75,high_activation,congruent,correct,931
sub-06,76,high_activation,congruent,correct,1021
sub-06,77,high_activation,incongruent,correct,815
sub-06,78,high_activation,incongruent,correct,777
sub-06,79,high_activation,congruent,correct,833
sub-06,80,high_activation,congruent,correct,741
