Num,P1,P2,P3,P4,P6,P7,P8,P9,P10,P11,P22,P23,P24,P25,P26,P27,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
681a2d274ec18b143970ba96,27.0,1.0,3.0,8.0,6.0,1.0,7.0,1.0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,1.0,4.0,2.0,3.0,4.0,0.0,5.0,8.0,6.0,7.0,10.0,3.0,9.0,9.0,0.0,1.0,10.0,10.0,0.0,0.0,0.0,1.0,10.0,7.0,5.0,0.0,10.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,7.0,1.0,9.0,10.0
680b33ed2b8d3e4048c1090e,18.0,1.0,2.0,6.0,2.0,1.0,4.0,1.0,1.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,7.0,6.0,8.0,9.0,10.0,5.0,5.0,4.0,6.0,3.0,3.0,10.0,8.0,10.0,1.0,8.0,9.0,4.0,2.0,4.0,8.0,10.0,4.0,,3.0,6.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,8.0,6.0,8.0
681d00f84cc07607d7c6119b,24.0,2.0,3.0,7.0,1.0,1.0,5.0,10.0,1.0,2.0,10.0,10.0,7.0,7.0,5.0,7.0,3.0,1.0,2.0,5.0,3.0,5.0,5.0,6.0,7.0,3.0,10.0,4.0,5.0,8.0,3.0,5.0,,6.0,6.0,4.0,5.0,7.0,7.0,4.0,6.0,6.0,5.0,6.0,5.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0
681b402e4ec18b143973ab9a,24.0,1.0,1.0,7.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,6.0,5.0,5.0,6.0,2.0,2.0,5.0,4.0,4.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,5.0,1.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0
681bd24d30e2084bbe9396f5,17.0,1.0,2.0,3.0,2.0,1.0,3.0,0.0,3.0,1.0,0.0,3.0,6.0,9.0,7.0,6.0,3.0,3.0,0.0,2.0,2.0,7.0,0.0,2.0,5.0,6.0,8.0,10.0,3.0,10.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,5.0,4.0,0.0,8.0,9.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,7.0,4.0,7.0,10.0
681b6fad4cc07607d7c5cced,19.0,1.0,3.0,3.0,2.0,1.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
681b3b853a2c5c4cebccd2f2,22.0,2.0,3.0,7.0,2.0,1.0,7.0,6.0,1.0,1.0,4.0,5.0,4.0,9.0,8.0,5.0,3.0,2.0,7.0,5.0,5.0,10.0,1.0,10.0,8.0,10.0,8.0,9.0,7.0,10.0,10.0,5.0,1.0,10.0,10.0,0.0,0.0,0.0,5.0,10.0,10.0,0.0,10.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,6.0,10.0
6821e7e728ba9f2e9c391486,25.0,2.0,1.0,6.0,2.0,1.0,9.0,9.0,1.0,1.0,2.0,6.0,7.0,9.0,8.0,8.0,3.0,4.0,7.0,7.0,8.0,8.0,2.0,9.0,6.0,10.0,2.0,0.0,6.0,2.0,9.0,10.0,2.0,2.0,1.0,9.0,10.0,8.0,10.0,8.0,9.0,8.0,9.0,4.0,9.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,9.0,9.0,10.0,3.0,6.0
681e2ecb575dc75aa1b8dba9,19.0,1.0,1.0,2.0,2.0,1.0,5.0,10.0,2.0,1.0,8.0,7.0,6.0,8.0,8.0,2.0,2.0,2.0,3.0,7.0,6.0,2.0,5.0,3.0,5.0,6.0,0.0,6.0,7.0,4.0,7.0,3.0,2.0,4.0,6.0,9.0,7.0,7.0,3.0,4.0,9.0,3.0,8.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,8.0,6.0,9.0,4.0,9.0,9.0
681d146c30e2084bbe93cf81,16.0,2.0,2.0,3.0,2.0,1.0,4.0,7.0,2.0,2.0,10.0,3.0,10.0,10.0,10.0,10.0,2.0,3.0,9.0,9.0,1.0,2.0,4.0,0.0,5.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,6.0,2.0,5.0,6.0,7.0,7.0,5.0,8.0,4.0,7.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,4.0,7.0,8.0,7.0,5.0
