trial_number,block_number,block_type,direction,position,congruency,correct_response
1,1,central,left,right,incongruent,s
2,1,central,right,left,incongruent,l
3,1,central,left,right,incongruent,s
4,1,central,left,left,congruent,s
5,1,central,right,left,incongruent,l
6,1,central,left,left,congruent,s
7,1,central,right,right,congruent,l
8,1,central,left,right,incongruent,s
9,1,central,right,left,incongruent,l
10,1,central,left,left,congruent,s
11,1,central,right,right,congruent,l
12,1,central,right,right,congruent,l
13,1,central,left,right,incongruent,s
14,1,central,left,left,congruent,s
15,1,central,right,left,incongruent,l
16,1,central,left,left,congruent,s
17,1,central,left,right,incongruent,s
18,1,central,right,left,incongruent,l
19,1,central,right,left,incongruent,l
20,1,central,right,right,congruent,l
21,1,central,left,right,incongruent,s
22,1,central,right,right,congruent,l
23,1,central,right,left,incongruent,l
24,1,central,right,right,congruent,l
25,1,central,left,left,congruent,s
26,1,central,right,left,incongruent,l
27,1,central,left,left,congruent,s
28,1,central,right,right,congruent,l
29,1,central,left,right,incongruent,s
30,1,central,left,right,incongruent,s
31,1,central,right,left,incongruent,l
32,1,central,right,right,congruent,l
33,1,central,left,right,incongruent,s
34,1,central,right,right,congruent,l
35,1,central,left,left,congruent,s
36,1,central,right,right,congruent,l
37,1,central,left,right,incongruent,s
38,1,central,left,left,congruent,s
39,1,central,left,left,congruent,s
40,1,central,right,left,incongruent,l
